SAMPLE_ID,SUBJECT ,TYPE,STUDY,NUMBER,DESCRIPTION
EXT_NEG1,na,NEGATIVE,na,na,powersoil extraction negative 1
EXT_NEG2,na,NEGATIVE,na,na,powersoil extraction negative 2
EXT_NEG3,na,NEGATIVE,na,na,powersoil extraction negative 3
PCR_NEG1,na,NEGATIVE,na,na,library prep negative 1
PCR_NEG2,na,NEGATIVE,na,na,library prep negative 2
PCR_NEG3,na,NEGATIVE,na,na,library prep negative 3
S01,S01,BULK,COHORT,1,BULK
S01.S,S01,RESIST,COHORT,1,RESIST
S02,S02,BULK,COHORT,2,BULK
S02.S,S02,RESIST,COHORT,2,RESIST
S03,S03,BULK,COHORT,3,BULK
S03.S,S03,RESIST,COHORT,3,RESIST
S04,S04,BULK,COHORT,4,BULK
S04.S,S04,RESIST,COHORT,4,RESIST
S05,S05,BULK,COHORT,5,BULK
S05.S,S05,RESIST,COHORT,5,RESIST
S06,S06,BULK,COHORT,6,BULK
S06.S,S06,RESIST,COHORT,6,RESIST
S07,S07,BULK,COHORT,7,BULK
S07.S,S07,RESIST,COHORT,7,RESIST
S08,S08,BULK,COHORT,8,BULK
S08.S,S08,RESIST,COHORT,8,RESIST
S09,S09,BULK,COHORT,9,BULK
S09.S,S09,RESIST,COHORT,9,RESIST
S10,S10,BULK,COHORT,10,BULK
S10.S,S10,RESIST,COHORT,10,RESIST
S11,S11,BULK,COHORT,11,BULK
S11.S,S11,RESIST,COHORT,11,RESIST
S12,S12,BULK,COHORT,12,BULK
S12.S,S12,RESIST,COHORT,12,RESIST
S13,S13,BULK,COHORT,13,BULK
S13.S,S13,RESIST,COHORT,13,RESIST
S14,S14,BULK,COHORT,14,BULK
S14.S,S14,RESIST,COHORT,14,RESIST
S15,S15,BULK,COHORT,15,BULK
S15.S,S15,RESIST,COHORT,15,RESIST
S16,S16,BULK,COHORT,16,BULK
S16.S,S16,RESIST,COHORT,16,RESIST
S17,S17,BULK,COHORT,17,BULK
S17.S,S17,RESIST,COHORT,17,RESIST
S18,S18,BULK,COHORT,18,BULK
S18.S,S18,RESIST,COHORT,18,RESIST
S19,S19,BULK,COHORT,19,BULK
S19.S,S19,RESIST,COHORT,19,RESIST
S20,S20,BULK,COHORT,20,BULK
S20.S,S20,RESIST,COHORT,20,RESIST
S21,S21,BULK,COHORT,21,BULK
S21.S,S21,RESIST,COHORT,21,RESIST
S22,S22,BULK,COHORT,22,BULK
S22.S,S22,RESIST,COHORT,22,RESIST
S23,S23,BULK,COHORT,23,BULK
S23.S,S23,RESIST,COHORT,23,RESIST
S24,S24,BULK,COHORT,24,BULK
S24.S,S24,RESIST,COHORT,24,RESIST
SPO_NEG1,SN1,NEGATIVE,na,na,resistant enrichment negative 1
SPO_NEG2,SN2,NEGATIVE,na,na,resistant enrichment negative 2
SPO_NEG3,SN3,NEGATIVE,na,na,resistant enrichment negative 3
T10,T10,BULK,TimeSeries,10,BULK
T10.S,T10,RESIST,TimeSeries,10,RESIST
T11,T11,BULK,TimeSeries,11,BULK
T11.S,T11,RESIST,TimeSeries,11,RESIST
T12,T12,BULK,TimeSeries,12,BULK
T12.S,T12,RESIST,TimeSeries,12,RESIST
T13,T13,BULK,TimeSeries,13,BULK
T13.S,T13,RESIST,TimeSeries,13,RESIST
T14,T14,BULK,TimeSeries,14,BULK
T14.r,T14,BULK,TimeSeries,14,BULK
T14.S,T14,RESIST,TimeSeries,14,RESIST
T15,T15,BULK,TimeSeries,15,BULK
T15.r,T15,BULK,TimeSeries,15,BULK
T15.S,T15,RESIST,TimeSeries,15,RESIST
T16,T16,BULK,TimeSeries,16,BULK
T16.r,T16,BULK,TimeSeries,16,BULK
T16.S,T16,RESIST,TimeSeries,16,RESIST
T17,T17,BULK,TimeSeries,17,BULK
T17.r,T17,BULK,TimeSeries,17,BULK
T17.S,T17,RESIST,TimeSeries,17,RESIST
T18,T18,BULK,TimeSeries,18,BULK
T18.r,T18,BULK,TimeSeries,18,BULK
T18.S,T18,RESIST,TimeSeries,18,RESIST
T19,T19,BULK,TimeSeries,19,BULK
T19.S,T19,RESIST,TimeSeries,19,RESIST
T1,T1,BULK,TimeSeries,1,BULK
T20,T20,BULK,TimeSeries,20,BULK
T20.r,T20,BULK,TimeSeries,20,BULK
T20.S,T20,RESIST,TimeSeries,20,RESIST
T21,T21,BULK,TimeSeries,21,BULK
T21.r,T21,BULK,TimeSeries,21,BULK
T21.S,T21,RESIST,TimeSeries,21,RESIST
T2,T2,BULK,TimeSeries,2,BULK
T3,T3,BULK,TimeSeries,3,BULK
T3.S,T3.S,RESIST,TimeSeries,3,RESIST
T4,T4,BULK,TimeSeries,4,BULK
T5,T5,BULK,TimeSeries,5,BULK
T6,T6,BULK,TimeSeries,6,BULK
T6.S,T6,RESIST,TimeSeries,6,RESIST
T7,T7,BULK,TimeSeries,7,BULK
T7.S,T7,RESIST,TimeSeries,7,RESIST
T8,T8,BULK,TimeSeries,8,BULK
T8.S,T8,RESIST,TimeSeries,8,RESIST
T9,T9,BULK,TimeSeries,9,BULK
T9.S,T9,RESIST,TimeSeries,9,RESIST
TA,Tm2,BULK,TimeSeries,-2,BULK
TB,Tm1,BULK,TimeSeries,-1,BULK
TC,Tm0,BULK,TimeSeries,0,BULK
