Method	Compound	m/z	RT (min)	HMDB ID (*representativeID)	Metabolite	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	QCP02	S21	S22	S23	S24	TA	TB	TC	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	QCP03	T14	T15	T16	T17	T18	T19	T20	T21	QCP04
C18-neg	cmp.QI01	355.2417	7.73	Internal Standard	PGE2-d4	244615	255961	233404	262419	259553	231968	254468	263604	254992	249160	242254	232099	250479	230488	264973	269689	237650	254340	220185	242452	236729	258129	233279	265428	256374	253769	245346	256342	259133	249791	240214	256218	249861	251811	256062	232699	238912	244262	259750	241375	241783	222816	261392	195257	174026	188129	233882	232263	249784	244896	229689
C18-neg	cmp.QI02	313.2376	9.81	HMDB04705	12.13-diHOME	1174788	257288	563234	177758	493406	727089	485349	677790	162111	1935711	1098755	491923	694729	489696	767356	1173904	296682	101510	143099	173523	887362	877405	329478	320543	837135	872800	581082	954894	1116543	1297733	1095903	471528	455506	1279742	786330	972303	1118744	596820	739503	958740	794627	838686	627536	1303106	676936	912459	2222948	1168445	1225619	787994	888693
C18-neg	cmp.QI03	313.2376	10.01	HMDB04704	9.10-diHOME	1453968	654456	1460965	313685	867620	902012	668496	2446877	236774	1306308	890047	276493	624245	685963	838526	591225	292947	65382	104506	254154	908600	701902	175834	459464	380852	640249	487530	959738	1332254	933343	1060845	509515	687490	1226712	875512	1000632	2133204	2182885	1285478	718719	700280	940776	660544	1202144	997724	1235696	1431127	916629	1827595	703088	936164
C18-neg	cmp.QI04	295.2269	11.27	HMDB04667	13-HODE	2513816	815764	749638	148482	1847064	184427	676872	5143653	279059	252764	716471	681625	1421556	136414	1351676	483072	222383	216205	83079	326034	1771136	558915	167285	762302	4687399	2038496	895067	1531049	2325382	1688042	684030	379948	1477092	852183	1175523	1274418	3489645	4571550	7189585	898582	1527229	1773497	1931016	3262673	1277409	1953821	1504263	1086852	5282349	406799	1787337
C18-neg	cmp.QI05	335.2220	10.99		5.6 diHETE	13580	9968	103090	4419	13021	41934	66225	896	366	3241	4690	32199	6536	16347	4069	197061	8306	8022	3249	664	97997	4273	114173	6938	7019	3840	5802	316782	12873	54199	932836	83283	152488	98973	95788	149250	72727	67455	23698	18913	78607	99657	15384	291349	83362	286691	634662	51243	246892	444411	93834
C18-neg	cmp.QI06	115.0385	0.89	HMDB00720	levulinate	14287	16401	10178	14545	11456	15671	12036	12162	53071	17824	63809	44197	38254	45423	41722	17762	47647	35691	14331	14547	19641	42847	65394	17357	13089	12445	23244	14040	12466	12124	12308	12678	13547	12019	18020	10983	11402	13035	19390	24552	10554	22777	13811	12044	12918	16330	14266	14472	12107	17605	21553
C18-neg	cmp.QI07	129.0905	7.46	HMDB00666	heptanoate	79	4542		7220	37	89650		4368			15508	19859		17801	108		23142	6524			5711		16139	60740	6161	14	26	79	70		47			31		15	20	36	23	13		5662	66		277	72		17	160	15	5984
C18-neg	cmp.QI08	149.0592	5.85	HMDB00764	hydrocinnamate	564772	652358	11287	141322	1081823	700322	138945	29660	69080	214177	253920	719502	389505	881132	27777	43134	401857	193265	10165	14063	471078	112821	347716	982686	194268	657947	843947	694319	556000	799658	682212	852213	657121	279917	256241	282911	411039	713043	201626	329075	345142	471972	1288098	471432	274080	634477	496956	344951	612990	209981	463581
C18-neg	cmp.QI09	215.1276	6.83	HMDB00888	undecanedionate	261371	92526	98840	259068	69003	193381	196723	193525	91195	80998	146106	192777	70124	170041	90928	90448	312112	89663	50006	51637	138710	80181	208823	263837	233748	149243	87140	170917	254850	174056	138192	95755	110209	64718	55958	46834	81559	76417	45780	42198	59008	134809	133240	99010	95215	116468	131921	66922	129476	42902	130438
C18-neg	cmp.QI10	227.2005	13.69	HMDB00806	myristate	2312925	2992478	873904	3107631	1353796	3168787	1415879	2822726	5509919	8632933	4791705	4146602	2336025	7491963	2312513	2186393	4453075	8388660	1637712	8802190	3244735	9109130	3549441	5771524	2820701	1453426	1064727	2468211	2194872	1587963	1357911	1330320	1159091	725069	978192	1174019	2019600	2542081	1153668	875064	882674	3200769	1494547	1454917	2828111	1962212	3814549	1055020	2617356	926495	3376731
