,x
S01,58470
S01.S,66447
S02,47713
S02.S,28872
S03,69030
S03.S,52184
S04,74140
S04.S,62497
S05,92521
S05.S,52450
S06,84463
S06.S,93923
S07,70294
S07.S,29772
S08,87103
S08.S,67536
S09,72181
S09.S,70302
S10,51921
S10.S,66719
S11,37251
S11.S,64764
S12,94052
S12.S,66599
S13,127101
S13.S,62896
S14,56022
S14.S,34870
S15,49438
S15.S,61511
S16,52285
S16.S,46988
S17,79907
S17.S,39773
S18,55956
S18.S,33497
S19,51235
S19.S,66149
S20,33821
S20.S,51791
S21,53366
S21.S,37091
S22,42072
S22.S,61261
S23,72483
S23.S,61797
S24,78515
S24.S,61447
T1,59683
T10,78902
T10.S,63919
T11,55957
T11.S,77395
T12,65968
T12.S,57870
T13,89055
T13.S,74713
T14,57468
T14.r,50167
T14.S,63022
T15,70279
T15.r,67209
T15.S,60270
T16,67752
T16.r,44705
T16.S,64986
T17,39559
T17.r,52975
T17.S,66443
T18,78531
T18.r,51182
T18.S,63140
T19,70107
T19.S,77105
T2,52147
T20,84869
T20.r,57852
T20.S,70754
T21,53570
T21.r,51412
T21.S,73628
T3,53044
T3.S,41285
T4,51567
T5,76650
T6,50000
T6.S,66841
T7,53738
T7.S,66250
T8,63168
T8.S,61344
T9,55968
T9.S,68011
TA,68829
TB,51906
TC,47894
