,NoReads,AvgCt
EXT_NEG1,699,25.11
EXT_NEG2,3935,24.92
EXT_NEG3,1815,24.99
PCR_NEG1,411,25.32
PCR_NEG2,641,25.1
PCR_NEG3,2577,24.93
S01,58470,14.47
S01.S,66447,16.7
S02,47713,14.86
S02.S,28872,17.63
S03,69030,14.72
S03.S,52184,18.22
S04,74140,15.82
S04.S,62497,17.64
S05,92521,14.55
S05.S,52450,15.59
S06,84463,15.13
S06.S,93923,16.87
S07,70294,13.31
S07.S,29772,16.45
S08,87103,14.34
S08.S,67536,17.51
S09,72181,15.43
S09.S,70302,19.57
S10,51921,17.67
S10.S,66719,20.26
S11,37251,17.17
S11.S,64764,19.34
S12,94052,17.36
S12.S,66599,16.52
S13,127101,17.53
S13.S,62896,18.04
S14,56022,16.74
S14.S,34870,18.87
S15,49438,16.75
S15.S,61511,19.26
S16,52285,16.15
S16.S,46988,16.59
S17,79907,17.07
S17.S,39773,19.41
S18,55956,15.29
S18.S,33497,18.8
S19,51235,18.05
S19.S,66149,18.41
S20,33821,17.82
S20.S,51791,19.16
S21,53366,16.92
S21.S,37091,17.89
S22,42072,15.7
S22.S,61261,18.94
S23,72483,16.39
S23.S,61797,18.15
S24,78515,14.1
S24.S,61447,17.07
SPO_NEG1,55951,21.29
SPO_NEG2,14345,22.41
SPO_NEG3,4566,22.55
T1,59683,17.57
T10,78902,18.85
T10.S,63919,19.74
T11,55957,17.25
T11.S,77395,18.81
T12,65968,16.68
T12.S,57870,19.25
T13,89055,14.52
T13.S,74713,18.6
T14,57468,14.78
T14.r,50167,14.78
T14.S,63022,18.53
T15,70279,18.14
T15.r,67209,18.14
T15.S,60270,19.03
T16,67752,15.99
T16.r,44705,15.99
T16.S,64986,17.77
T17,39559,15.22
T17.r,52975,15.22
T17.S,66443,17.82
T18,78531,14.08
T18.r,51182,14.08
T18.S,63140,18.68
T19,70107,15.29
T19.S,77105,20.2
T2,52147,17.25
T20,84869,17.58
T20.r,57852,17.58
T20.S,70754,18.71
T21,53570,16.24
T21.r,51412,16.24
T21.S,73628,18.8
T3,53044,18.15
T3.S,41285,19.34
T4,51567,18.08
T5,76650,18.32
T6,50000,19
T6.S,66841,19.58
T7,53738,18.82
T7.S,66250,23.2
T8,63168,18.81
T8.S,61344,21.15
T9,55968,18.83
T9.S,68011,19.14
TA,68829,18.63
TB,51906,19.74
TC,47894,17.45
